Model,Accuracy,Precision,Recall,F1,ROC_AUC
Linear SVM,0.9977728285077951,0.9982949701619779,0.9974446337308348,0.9978696207925011,0.9999300117548439
Random Forest,0.9971046770601336,0.9972316865417377,0.9972316865417377,0.9972316865417377,0.9998894752392723
Logistic Regression,0.9927616926503341,0.9952941176470588,0.9908432708688245,0.9930637071817309,0.9996986727683691
Multinomial Naive Bayes,0.9569042316258352,0.9610528568371496,0.9563458262350937,0.9586935638808838,0.9912032033142616
KNN,0.5502227171492204,0.5376245561791319,0.9995741056218058,0.6991882028748045,0.6223190972868421
